tweet_id,user_id,username,name,first_name,last_name,full_text,view_count,bookmark_count,favorite_count,reply_count,retweet_count,quote_count,bookmarked,favorited,retweeted,created_at,user_mentions,location,bio,website,websites,can_dm,can_media_tag,is_quote_status,lang,followers_count,following_count,media_count,statuses_count,favourites_count,listed_count,fast_followers_count,normal_followers_count,followed_by,following,profile_banner_url,profile_url,avatar_url,verified,is_blue_verified,user_created_at
1808214536589083088,1296469737166315522,DanMigoz,Dan Migoz™🖊️,Dan,Migoz™🖊️,"Ayayayah!!! Ladies and gentlemen guess who is back 😂😂 
Guava man is back and kicking everywhere like Ruto's lies @gabrieloguda welcome bro I'm following you right away.
#RutoMustGo https://t.co/tE7Ls8ZIxn",43,0,0,0,0,0,FALSE,FALSE,FALSE,"7/3/2024, 12:01:55 AM",gabrieloguda,"Ottawa, Ontario","The enemy is poverty,
The goal is to change home.
#CHELSEA FOREVER",https://www.facebook.com/dan.migoz,https://www.facebook.com/dan.migoz,TRUE,TRUE,TRUE,en,6335,6168,849,34678,36728,1,0,6335,,,https://pbs.twimg.com/profile_banners/1296469737166315522/1719406259,https://www.x.com/DanMigoz,https://pbs.twimg.com/profile_images/1758206372762550273/6yZQOhs9_normal.jpg,FALSE,FALSE,"8/20/2020, 8:31:13 PM"
1808211860770246742,1095248918068248577,ShiunduKenya,Joseph Shiundu,Joseph,Shiundu,@citizentvkenya @YvonneOkwara This government must be kidding. But maybe they are on Ruto's neck. The wrath of lies,4,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:51:17 PM",citizentvkenya; YvonneOkwara,"Nairobi, Kenya",,,,TRUE,TRUE,FALSE,en,6,87,2,159,76,0,0,6,,,,https://www.x.com/ShiunduKenya,https://pbs.twimg.com/profile_images/1568986685555236865/uZmMFINB_normal.jpg,FALSE,FALSE,"2/12/2019, 2:11:05 PM"
1808211714628112441,1542028050510012416,NavarkM,navark mackambo,navark,mackambo,Am just surprised with the increment on salary for the government officers and Ruto claimed there will be a cut but opposite is done we are tired with lies and we are coming for you on Thursday,1,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:50:42 PM",,,Am strong with Gods favour,,,FALSE,TRUE,FALSE,en,2,17,5,51,115,0,0,2,,,,https://www.x.com/NavarkM,https://pbs.twimg.com/profile_images/1542028152133787648/kiskkwVY_normal.png,FALSE,FALSE,"6/29/2022, 11:12:15 AM"
1808210747396444287,965819120867569666,angienda_,Alvin Ang'ienda,Alvin,Ang'ienda,"President Ruto, H.E Mtukufu Lies really has the UONGO part of UONGOZI locked down!!!

Msiseme hajui kitu,
Hii anajua!

#RutoMustGo",28,0,1,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:46:51 PM",,"Nairobi, Kenya",I am passionate about Human Rights and Social Justice. My current mission is to develop knowledge that helps me understand how we can make the world more just.,http://angienda.name,http://angienda.name,FALSE,TRUE,FALSE,in,511,270,61,1241,3396,0,0,511,,,https://pbs.twimg.com/profile_banners/965819120867569666/1647930293,https://www.x.com/angienda_,https://pbs.twimg.com/profile_images/1505993215161348096/CAOOYQD5_normal.jpg,FALSE,FALSE,"2/20/2018, 10:23:17 AM"
1808209335258173907,1730399302705446912,MissRebbe5193,Rebbeca Mumbi,Rebbeca,Mumbi,"@TheKaslim No no no. So Limuru 3 has had ripple effects to Mombasa, Garrisa, moyale, eldoret, kakamega, kisii, nyeri and all other major towns. Limuru 3 forced failed president Ruto to lie, to borrow recklessly, to steal, the police to kill?",160,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:41:15 PM",TheKaslim,"Baltimore , MD | Nairobi Kenya",Mumbi & Cowell Law Loading......,,,FALSE,TRUE,FALSE,en,63,92,17,2745,4226,0,0,63,,,,https://www.x.com/MissRebbe5193,https://pbs.twimg.com/profile_images/1730399373752754177/xv78gZ_O_normal.png,FALSE,FALSE,"12/1/2023, 6:32:14 AM"
1808207852215087181,1278665077,Gerjed,Danaaki,Danaaki,,"@AmakanjiThomas 🤣If stupidity was a name.
Ruto lacks situational intelligence.
Both Ruto &amp; Rigathi are REJECTS
In fact the whole KK regime has become PARA or OSUO to Kenyans. Gachagua is not liked nor does he have the muscle to galvanize Kenyans.
Ruto is a lair spinning THE LIE 🤥 as always",70,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:35:21 PM",AmakanjiThomas,,Learning the hard way,,,FALSE,TRUE,FALSE,en,333,314,2489,12840,12392,0,0,333,,,,https://www.x.com/Gerjed,https://pbs.twimg.com/profile_images/1761041768013799432/CGVA7y-v_normal.jpg,FALSE,FALSE,"3/19/2013, 1:17:23 AM"
1808206099650080800,1200044222,CRawlines,Preacher Since 1896®,Preacher,Since 1896®,"Mr. William Ruto (the salutation remains silent) - because this generation does not associate your name with the truth, it's lie after lie.
It's difficult to play a politico-lie on the masses for so long. It's bad out here. It's a now moment.
No more lies.
#RutoMustGo",43,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:28:23 PM",,British E.A/Istanbul,"Noblesse oblige
Universality over Pluralism!
E.A|True Believer|Realist
Literature|Logic|Arithmetic|Music",,,TRUE,TRUE,FALSE,en,2370,4646,455,24229,19759,1,0,2370,,,https://pbs.twimg.com/profile_banners/1200044222/1719122854,https://www.x.com/CRawlines,https://pbs.twimg.com/profile_images/1664225831558709254/YHbcY5r__normal.jpg,FALSE,FALSE,"2/20/2013, 1:14:28 PM"
1808205852446449669,2257365175,phanuelkasuni,phanuelK,phanuelK,,@LarryMadowo The international world doesn't know Ruto lies for a living...that has not dawned to them,50,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:27:24 PM",LarryMadowo,,"financial consultant , analyst, investment expert.",,,TRUE,TRUE,FALSE,en,546,303,511,6666,10675,0,0,546,,,https://pbs.twimg.com/profile_banners/2257365175/1666699419,https://www.x.com/phanuelkasuni,https://pbs.twimg.com/profile_images/1752271568087007232/Y-UIrsZv_normal.jpg,FALSE,FALSE,"12/22/2013, 11:21:14 AM"
1808203123913068841,1799118261440610304,elia9425,Elias Otieno,Elias,Otieno,"@Osama_otero William Ruto ni Muongo. Hakuna mambo ya kumpea time. That guy can lie looking at you straight in the eyes without looking down. 
#RutoMustGo",25,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:16:34 PM",Osama_otero,,,,,TRUE,TRUE,FALSE,en,6,13,1,48,11,0,0,6,,,,https://www.x.com/elia9425,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,FALSE,FALSE,"6/7/2024, 9:37:03 PM"
1808202303607840827,1521578266708037633,didier_mamai,Binary,Binary,,"Once something happens more than once, there is high chances it will happen again. Ruto has lied us multiple times. He will still lie us.
#RutoMustGo",22,0,0,0,0,0,FALSE,FALSE,FALSE,"7/2/2024, 11:13:18 PM",,,"Bungoma, Kenya, Africa in that order.",,,TRUE,TRUE,FALSE,en,184,480,52,1508,1911,0,0,184,,,https://pbs.twimg.com/profile_banners/1521578266708037633/1670387865,https://www.x.com/didier_mamai,https://pbs.twimg.com/profile_images/1563885687023222784/S1X-pYSf_normal.jpg,FALSE,FALSE,"5/4/2022, 12:52:08 AM"
